Chr	Start	End	Type	Var1	Var2	Var3
chr1	11869	14409	gene	gene_id ENSG00000223972.5	 gene_type transcribed_unprocessed_pseudogene	 gene_name DDX11L1
chr1	14404	29570	gene	gene_id ENSG00000227232.5	 gene_type unprocessed_pseudogene	 gene_name WASH7P
chr1	17369	17436	gene	gene_id ENSG00000278267.1	 gene_type miRNA	 gene_name MIR6859-1
chr1	29554	31109	gene	gene_id ENSG00000243485.5	 gene_type lncRNA	 gene_name MIR1302-2HG
chr1	30366	30503	gene	gene_id ENSG00000284332.1	 gene_type miRNA	 gene_name MIR1302-2
chr1	34554	36081	gene	gene_id ENSG00000237613.2	 gene_type lncRNA	 gene_name FAM138A
chr1	52473	53312	gene	gene_id ENSG00000268020.3	 gene_type unprocessed_pseudogene	 gene_name OR4G4P
chr1	57598	64116	gene	gene_id ENSG00000240361.2	 gene_type transcribed_unprocessed_pseudogene	 gene_name OR4G11P
chr1	65419	71585	gene	gene_id ENSG00000186092.7	 gene_type protein_coding	 gene_name OR4F5
chr1	89295	133723	gene	gene_id ENSG00000238009.6	 gene_type lncRNA	 gene_name RP11-34P13.7
chr1	89551	91105	gene	gene_id ENSG00000239945.1	 gene_type lncRNA	 gene_name RP11-34P13.8
chr1	131025	134836	gene	gene_id ENSG00000233750.3	 gene_type processed_pseudogene	 gene_name CICP27
chr1	135141	135895	gene	gene_id ENSG00000268903.1	 gene_type processed_pseudogene	 gene_name RP11-34P13.15
chr1	137682	137965	gene	gene_id ENSG00000269981.1	 gene_type processed_pseudogene	 gene_name RP11-34P13.16
chr1	139790	140339	gene	gene_id ENSG00000239906.1	 gene_type lncRNA	 gene_name RP11-34P13.14
chr1	141474	173862	gene	gene_id ENSG00000241860.7	 gene_type lncRNA	 gene_name RP11-34P13.13
chr1	157784	157887	gene	gene_id ENSG00000222623.1	 gene_type snRNA	 gene_name RNU6-1100P
chr1	160446	161525	gene	gene_id ENSG00000241599.1	 gene_type lncRNA	 gene_name RP11-34P13.9
chr1	182696	184174	gene	gene_id ENSG00000279928.2	 gene_type unprocessed_pseudogene	 gene_name DDX11L17
chr1	185217	195411	gene	gene_id ENSG00000279457.4	 gene_type unprocessed_pseudogene	 gene_name WASH9P
chr1	187891	187958	gene	gene_id ENSG00000273874.1	 gene_type miRNA	 gene_name MIR6859-2
chr1	257864	359681	gene	gene_id ENSG00000228463.10	 gene_type transcribed_processed_pseudogene	 gene_name AP006222.1
chr1	266855	268655	gene	gene_id ENSG00000286448.1	 gene_type lncRNA	 gene_name AP006222.3
chr1	347982	348366	gene	gene_id ENSG00000236679.2	 gene_type processed_pseudogene	 gene_name RPL23AP24
chr1	358857	366052	gene	gene_id ENSG00000236601.2	 gene_type lncRNA	 gene_name RP4-669L17.2
chr1	365389	522928	gene	gene_id ENSG00000237094.12	 gene_type transcribed_unprocessed_pseudogene	 gene_name RP4-669L17.4
chr1	439870	440232	gene	gene_id ENSG00000269732.1	 gene_type processed_pseudogene	 gene_name WBP1LP7
chr1	450740	451678	gene	gene_id ENSG00000284733.2	 gene_type protein_coding	 gene_name OR4F29
chr1	487101	489906	gene	gene_id ENSG00000233653.3	 gene_type processed_pseudogene	 gene_name CICP7
chr1	491225	493241	gene	gene_id ENSG00000250575.1	 gene_type unprocessed_pseudogene	 gene_name RP4-669L17.8
chr1	516376	516479	gene	gene_id ENSG00000278757.1	 gene_type snRNA	 gene_name U6
chr1	586071	827796	gene	gene_id ENSG00000230021.10	 gene_type transcribed_processed_pseudogene	 gene_name RP11-206L10.17
chr1	587629	594768	gene	gene_id ENSG00000235146.2	 gene_type lncRNA	 gene_name RP5-857K21.2
chr1	629062	629433	gene	gene_id ENSG00000225972.1	 gene_type unprocessed_pseudogene	 gene_name MTND1P23
chr1	629640	630683	gene	gene_id ENSG00000225630.1	 gene_type unprocessed_pseudogene	 gene_name MTND2P28
chr1	631074	632616	gene	gene_id ENSG00000237973.1	 gene_type unprocessed_pseudogene	 gene_name MTCO1P12
chr1	632325	632413	gene	gene_id ENSG00000278791.1	 gene_type miRNA	 gene_name ENSG00000278791
chr1	632757	633438	gene	gene_id ENSG00000229344.1	 gene_type unprocessed_pseudogene	 gene_name MTCO2P12
chr1	633535	633741	gene	gene_id ENSG00000240409.1	 gene_type unprocessed_pseudogene	 gene_name MTATP8P1
chr1	633696	634376	gene	gene_id ENSG00000248527.1	 gene_type unprocessed_pseudogene	 gene_name MTATP6P1
chr1	634376	634922	gene	gene_id ENSG00000198744.5	 gene_type unprocessed_pseudogene	 gene_name MTCO3P12
chr1	674842	675265	gene	gene_id ENSG00000268663.1	 gene_type processed_pseudogene	 gene_name WBP1LP6
chr1	685679	686673	gene	gene_id ENSG00000284662.1	 gene_type protein_coding	 gene_name OR4F16
chr1	722092	724903	gene	gene_id ENSG00000229376.3	 gene_type processed_pseudogene	 gene_name CICP3
chr1	725885	778626	gene	gene_id ENSG00000228327.3	 gene_type transcribed_unprocessed_pseudogene	 gene_name RP11-206L10.2
chr1	758233	758336	gene	gene_id ENSG00000223181.1	 gene_type snRNA	 gene_name RNU6-1199P
